regiao,area,quartos,banheiros,garagens,condominio,aluguel
aguas-claras,156,4,4,2,1018,4800
aguas-claras,186,4,2,3,1072,4500
aguas-claras,3636,1,1,1,333,1550
aguas-claras,55,2,1,1,80,800
aguas-claras,40,1,1,1,342,1100
aguas-claras,200,,2,,,12500
aguas-claras,62,2,2,1,420,3100
aguas-claras,407,,3,1,,12210
aguas-claras,34,1,1,1,350,1750
aguas-claras,62,2,2,1,600,3450
aguas-claras,1000,,1,,1554,12000
aguas-claras,91,2,1,,,5000
aguas-claras,62,2,2,1,493,2700
aguas-claras,4000,,1,,1995,11428
aguas-claras,168,3,6,2,1632,5500
aguas-claras,135,3,5,2,690,4900
aguas-claras,58,1,1,1,469,1700
aguas-claras,1000,,1,,969,12500
aguas-claras,65,1,,1,340,1750
aguas-claras,505,,1,,4032,21700
aguas-claras,147,3,3,3,770,3800
aguas-claras,110,3,2,1,,3000
aguas-claras,106,2,1,1,650,2600
aguas-claras,66,2,3,1,,3100
aguas-claras,69,2,2,2,740,2800
aguas-claras,32,,1,1,,1344
aguas-claras,120,3,3,2,928,4600
aguas-claras,120,3,3,1,867,4000
aguas-claras,71,3,2,1,745,2800
aguas-claras,28,1,1,1,310,1000
aguas-claras,35,1,1,1,260,1000
aguas-claras,73,2,2,1,411,2300
aguas-claras,110,,,,,6000
aguas-claras,63,2,2,1,408,2200
aguas-claras,55,2,2,1,468,1900
aguas-claras,1600,,,,,50000
aguas-claras,35,1,1,1,261,1200
aguas-claras,100000,,1,1,199,1300
aguas-claras,373,,,,,20000
aguas-claras,40,1,1,1,430,1600
aguas-claras,46,1,,1,377,1650
aguas-claras,199,3,,1,678,2750
aguas-claras,41,1,1,1,227,1150
aguas-claras,57,,2,,580,4800
aguas-claras,177,3,5,2,909,9000
aguas-claras,70,2,2,1,460,2900
aguas-claras,46,1,,1,377,1650
aguas-claras,111,3,1,2,673,2700
aguas-claras,99,,3,3,1200,4900
aguas-claras,47,1,2,1,459,1990
aguas-claras,35,1,1,1,261,1200
aguas-claras,83,2,2,2,716,2500
aguas-claras,74,2,1,1,543,2000
aguas-claras,30,1,1,1,406,850
aguas-claras,85,3,3,2,678,2600
aguas-claras,120,2,3,2,,3200
aguas-claras,63,2,,1,443,2600
aguas-claras,843,,,,,42000
aguas-claras,55,2,2,1,468,1900
aguas-claras,28,,1,1,320,1350
aguas-claras,50,2,1,,,1800
aguas-claras,45,1,1,1,250,1290
aguas-claras,55,,1,1,,5000
aguas-claras,70,2,2,,507,2100
aguas-claras,99,,3,3,1200,4900
aguas-claras,50,2,1,,,1800
aguas-claras,35,1,1,1,212,780
aguas-claras,393,,,,5300,21700
aguas-claras,34,1,1,1,322,800
aguas-claras,41,1,1,,,1300
aguas-claras,31,1,1,1,,1500
aguas-claras,111,,1,,,16000
aguas-claras,31,1,1,1,330,1490
aguas-claras,63,2,,1,443,2600
aguas-claras,31,1,1,1,330,1350
aguas-claras,47,1,2,1,459,1990
aguas-claras,57,,2,,580,4800
aguas-claras,106,3,3,1,852,3700
aguas-claras,490,,6,4,3150,17000
aguas-claras,24,1,1,1,672,1200
aguas-claras,85,3,3,2,678,2600
aguas-claras,58,2,2,1,550,2200
aguas-claras,117,3,2,2,700,2890
aguas-claras,70,,2,1,,2967
aguas-claras,74,2,1,1,543,2000
aguas-claras,120,2,3,2,,3200
aguas-claras,90,2,3,1,689,3000
aguas-claras,33,,1,1,,1336
aguas-claras,61,,1,1,,2440
aguas-claras,114,3,3,1,966,3000
aguas-claras,440,,,,,24000
aguas-claras,29,1,1,1,380,850
aguas-claras,108,,2,1,760,4500
aguas-claras,28,,1,1,320,1350
aguas-claras,60,2,2,1,691,2200
aguas-claras,447,,,,5900,24600
aguas-claras,83,2,2,2,716,2500
aguas-claras,29000,1,1,1,199,1299
aguas-claras,120,3,3,1,816,3300
aguas-claras,120,,1,,1100,9500
aguas-claras,45,1,1,1,250,1290
aguas-claras,27,1,1,1,550,1250
aguas-claras,2000,,1,,1680,9066
aguas-claras,1,,1,,875,5033
aguas-claras,75,3,1,2,807,3200
aguas-claras,32,1,1,,306,1100
aguas-claras,33,1,1,1,354,1950
aguas-claras,83,2,3,1,679,2600
aguas-claras,44,,,,1070,2600
aguas-claras,1,,1,,875,5033
aguas-claras,,,,1,48,100
aguas-claras,150,,2,,1200,12000
aguas-claras,37,1,1,1,360,1800
aguas-claras,75,3,1,2,807,3200
aguas-claras,32,1,1,1,364,1000
aguas-claras,70,3,3,1,550,2800
aguas-claras,1912,,,,,80000
aguas-claras,300,,,,,28000
aguas-claras,843,,3,,,42000
aguas-claras,34,,1,,445,1300
aguas-claras,2000,,1,,1680,9066
aguas-claras,31,1,1,1,380,1050
aguas-claras,50,,1,,306,3000
aguas-claras,129,3,1,2,810,1000
aguas-claras,33,1,,1,350,1500
aguas-claras,27,1,1,1,550,1250
aguas-claras,116,3,2,2,627,3800
aguas-claras,33,1,1,1,350,1350
aguas-claras,140,3,3,1,539,2900
aguas-claras,94,3,2,1,680,2700
aguas-claras,30,1,1,1,426,1000
aguas-claras,50,,1,,,432
aguas-claras,70,2,2,1,513,2500
aguas-claras,137,2,2,1,530,2500
aguas-claras,225,3,3,2,390,5500
aguas-claras,106,3,2,1,824,4050
aguas-claras,30,,1,,1400,900
aguas-claras,52,1,1,,120,700
aguas-claras,177,3,5,2,877,9500
aguas-claras,35,,1,1,501,1700
aguas-claras,44,1,1,1,399,1500
aguas-claras,880,,4,,,14000
aguas-claras,35,,1,1,,1200
aguas-claras,36,1,1,1,,1700
aguas-claras,40,1,1,1,258,1350
aguas-claras,100,2,2,1,518,2200
aguas-claras,35,1,1,1,292,1000
aguas-claras,35,1,1,1,385,900
aguas-claras,47,1,,1,380,1600
aguas-claras,61,2,2,1,398,2100
aguas-claras,98,2,2,1,630,2500
aguas-claras,33,1,1,1,352,1790
aguas-claras,450,,,,,13000
aguas-claras,4,,,1,56,250
aguas-claras,60,,2,2,500,1600
aguas-claras,32,1,1,1,374,1100
aguas-claras,576,,1,,,28800
aguas-claras,37,1,1,1,360,1600
